log_file,mode,recovery_time_ms,records_recovered,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,throughput_mean_rps,throughput_peak_rps
test-rocksdb-1746743116.log,rocksdb,20,6328,0.032878,0.033516,0.03355301,0.0328672768,56.81818181818182,10000
test-in-memory-1746742702.log,in-memory,18,6306,0.528706,0.529392,0.529429,0.5287000741,56.17977528089887,10000
test-in-memory-1746758069.log,in-memory,15,6275,0.020699,0.021399,0.021433,0.0206924429,56.17977528089887,10000
test-rocksdb-1746757543.log,rocksdb,14,6288,0.147237,0.147854,0.147883,0.1472246785,56.17977528089887,10000
