log_file,mode,recovery_time_ms,records_recovered,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,throughput_mean_rps,throughput_peak_rps
test-standby-1746748884.log,rocksdb,16,1000,0.004855,0.00551705,0.005547,0.004864889,56.17977528089887,10000
test-no-standby-1746747234.log,rocksdb,26,1000,0.00489,0.005583,0.005613,0.0048777444,56.17977528089887,10000
test-standby-1746747559.log,rocksdb,16,1000,0.00488,0.005616,0.005647,0.0048851887,56.17977528089887,10000
test-no-standby-1746749555.log,rocksdb,13,1000,0.005215,0.005926,0.005957,0.0052054193999999995,56.17977528089887,10000
test-no-standby-1746748561.log,rocksdb,17,1000,0.005084,0.005688,0.005719,0.0050815669,56.17977528089887,10000
test-standby-1746749879.log,rocksdb,11,1000,0.00592,0.006593,0.006623,0.0059150394,56.17977528089887,8938
