log_file,mode,recovery_time_ms,records_recovered,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,throughput_mean_rps,throughput_peak_rps
test-in-memory-1746718528.log,in-memory,15,100,0.362601,0.363219,0.363249,0.3625806544,57.142857142857146,9742
test-rocksdb-1746716429.log,rocksdb,17,100,0.114521,0.115116,0.115145,0.1145114824,56.17977528089887,10000
test-rocksdb-1746720159.log,rocksdb,16,100,0.148285,0.14895,0.148982,0.1482790219,56.49717514124294,10000
test-in-memory-1746716997.log,in-memory,29,100,0.042306,0.042921,0.042946,0.0422949461,56.49717514124294,5284
test-rocksdb-1746717721.log,rocksdb,18,100,0.22062549999999997,0.220967,0.220988,0.22064981400000003,56.17977528089887,8200
test-rocksdb-1746722237.log,rocksdb,16,100,0.02967,0.030343,0.030376,0.0296674596,57.142857142857146,10000
test-in-memory-1746719471.log,in-memory,15,100,0.244069,0.244675,0.24469,0.24406602859999998,56.81818181818182,10000
test-in-memory-1746720734.log,in-memory,15,100,0.11762,0.117857,0.117908,0.11752147090000001,56.81818181818182,7888
