log_file,mode,recovery_time_ms,records_recovered,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,throughput_mean_rps,throughput_peak_rps
test-changelog-default-1746751903.log,rocksdb,21,1000,0.006359,0.008786,0.008857,0.0062991524500000005,112.35955056179775,20000
test-changelog-default-1746754925.log,rocksdb,11,1000,0.0064860000000000004,0.00902105,0.009100009999999999,0.00643595725,111.73184357541899,20000
test-changelog-tuned-1746755441.log,rocksdb,18,1000,0.006004499999999999,0.008501,0.008585,0.0059629865,112.35955056179775,20000
test-changelog-tuned-1746754119.log,rocksdb,15,1000,0.007894,0.010661,0.010733,0.0078609031,112.99435028248588,20000
test-changelog-default-1746753604.log,rocksdb,12,1000,0.007206499999999999,0.009566,0.009635,0.0071572773,112.99435028248588,20000
test-changelog-tuned-1746752425.log,rocksdb,12,1000,0.0075899999999999995,0.010921,0.01101,0.007483984250000001,112.99435028248588,20000
