log_file,mode,recovery_time_ms,records_recovered,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,throughput_mean_rps,throughput_peak_rps
test-rocksdb-1746737209.log,rocksdb,23,1000,0.274487,0.275171,0.275203,0.27447857969999995,56.17977528089887,10000
test-in-memory-1746736502.log,in-memory,22,1000,0.104989,0.105678,0.105721,0.10499467060000002,56.49717514124294,10000
test-in-memory-1746741374.log,in-memory,15,1000,1.607024,1.60761,1.60764,1.6069838600000002,56.17977528089887,10000
test-in-memory-1746737629.log,in-memory,16,1000,0.063427,0.064103,0.064127,0.063426093,56.49717514124294,10000
test-rocksdb-1746735887.log,rocksdb,14,1000,0.224947,0.225612,0.225644,0.2249369308,56.81818181818182,10000
test-rocksdb-1746739300.log,rocksdb,19,1000,1.0142,1.01483,1.014863,1.0141898942,57.47126436781609,10000
